femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,105,99105,Loudon (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,8ba416eda7e06b8d3ace161d0402f4808e82f3f8,956610e1-7fc9-4fb3-a019-ff863218b668
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,107,99107,McMinn (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,30d5a6446bddaae878ca63d20b247c106d8492e9,678b7b2d-cbff-4fc4-8b8a-0cf708946bcf
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,109,99109,McNairy (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,1fdc0e2c785866ccba59fe9d4a55389846cabd61,5771be45-580d-47c1-a291-a61ee9d197ba
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,111,99111,Macon (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,1bffd0b64e992e5120a8c7c122ec1b035d630e07,1ce67150-7612-4bcb-87aa-088cba364483
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,113,99113,Madison (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,c545e55a94ddfd093b3bbeb7a7c63d183b8f02e7,3e658f87-ab36-4edd-907f-22316afdd14c
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,115,99115,Marion (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,753420f26916dc978ada12a2591ee2a78cf63435,27b8484c-1c05-4d73-92aa-f7d7a99f5c8b
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,117,99117,Marshall (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,b1daae8a0505991c93a0cc02a908df20fd01b87c,803a179d-807e-42c9-85fa-7fe8c81b364e
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,119,99119,Maury (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,cdad30e902aaca299b5674ad1d06b6f85330c497,40cd5da9-6bfd-41c3-959f-7ddc655f28d9
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,121,99121,Meigs (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,4b56b7bac728746429bbf77c79ee78c8be5ad211,58513ca6-e440-4758-9292-1771f870cfb8
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,123,99123,Monroe (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,e7b2d88254146a0bc076e6d748123495350bbf2c,a3a2944d-1449-4737-afa3-fda0aeb10db9
